state,suburb,postcode,latitude,longitude
NSW,Barratta,2710,-35.17611,144.5475
NSW,Barren Grounds,2577,-34.68167,150.71778
NSW,Barrengarry,2577,-34.715,150.53444
NSW,Barretts Creek,2460,-29.34833,152.75111
NSW,Barringella,2540,-34.9125,150.45778
NSW,Barrington,2422,-31.98167,151.85111
NSW,Barrington Tops,2422,-32.02333,151.48444
NSW,Barwon,2396,-30.98722,148.95111
NSW,Baryulgil,2460,-29.215,152.60111
NSW,Basin View,2540,-35.09833,150.56778
NSW,Bass Hill,2197,-33.89833,150.99556
NSW,Bassendean,2365,-30.065,151.14278
NSW,Batar Creek,2439,-31.665,152.66778
NSW,Bateau Bay,2261,-33.38167,151.48444
NSW,Batehaven,2536,-35.73167,150.20111
NSW,Batemans Bay,2536,-35.715,150.18444
NSW,Bathampton,2795,-33.49,149.40111
NSW,Bathurst,2795,-33.41667,149.58056
NSW,Batlow,2730,-35.515,148.13444
NSW,Baulkham Hills,2153,-33.75944,151.00111
NSW,Baw Baw,2580,-34.715,149.63444
NSW,Bawley Point,2539,-35.49833,150.38444
NSW,Baxters Ridge,2422,-31.69833,151.90111
NSW,Bayview,2104,-33.64833,151.28444
NSW,Beacon Hill,2100,-33.74833,151.25111
NSW,Beaconsfield,2015,-33.915,151.19278
NSW,Bean Creek,2469,-28.58861,152.5925
NSW,Beaumont,2577,-34.78167,150.56778
NSW,Beaumont Hills,2155,-33.69972,150.94056
NSW,Beaury Creek,2475,-28.465,152.51778
NSW,Beauty Point,2546,-33.09833,151.46778
NSW,Beckom,2665,-34.315,146.96778
NSW,Bective,2340,-30.965,150.73444
NSW,Bectric,2665,-34.515,147.26778
NSW,Beechwood,2446,-31.43167,152.66778
NSW,Beecroft,2119,-33.74833,151.05944
NSW,Beecroft Peninsula,2540,-35.04833,150.80111
NSW,Beelbangera,2680,-34.24833,146.10111
NSW,Bega,2550,-36.68167,149.90111
NSW,Belbora,2422,-31.97333,152.15111
NSW,Belfield,2191,-33.89833,151.08444
NSW,Belford,2335,-32.64833,151.27611
NSW,Belfrayden,2650,-35.115,147.06778
NSW,Belimbla Park,2570,-34.08167,150.53444
NSW,Bell,2786,-33.49694,150.27861
NSW,Bella Vista,2153,-33.74167,150.95472
NSW,Bellambi,2518,-34.36806,150.91833
NSW,Bellangry,2446,-31.33167,152.61778
NSW,Bellata,2397,-29.915,149.78444
NSW,Bellawongarah,2535,-34.765,150.61778
NSW,Bellbird,2325,-32.855,151.31833
NSW,Bellbrook,2440,-30.815,152.50111
NSW,Bellevue Hill,2023,-33.88167,151.25944
NSW,Bellimbopinni,2440,-30.99833,152.90111
NSW,Bellingen,2454,-30.44833,152.90111
NSW,Bellmount Forest,2581,-34.92611,149.22722
NSW,Belltrees,2337,-31.99833,151.11778
NSW,Belmont,2280,-33.03722,151.65944
NSW,Belmont North,2280,-33.015,151.66778
NSW,Belmont South,2280,-33.04833,151.65111
NSW,Belmore,2192,-33.915,151.09278
NSW,Belmore River,2440,-31.065,152.96778
NSW,Beloka,2628,-36.53167,148.73444
NSW,Belowra,2545,-36.14833,149.71778
NSW,Belrose,2085,-33.715,151.23444
NSW,Bemboka,2550,-36.615,149.56778
NSW,Ben Bullen,2790,-33.215,150.01778
NSW,Ben Lomond,2365,-30.015,151.65111
NSW,Benandarah,2536,-35.64833,150.23444
NSW,Benanee,2737,-34.515,142.83444
NSW,Benarca,2710,-33.94833,144.71778
NSW,Bendalong,2539,-35.22694,150.49
NSW,Bendemeer,2355,-30.88167,151.15111
NSW,Bendolba,2420,-32.35167,151.73
NSW,Bendoura,2622,-35.53167,149.66778
NSW,Benerembah,2680,-34.41583,145.86806
NSW,Bengalla,2333,-32.29,150.80944
NSW,Benkennie,2570,-34.065,150.70111
NSW,Bennetts Green,2290,-32.99278,151.69278
NSW,Bensville,2251,-33.49833,151.38444
NSW,Bentley,2480,-28.78167,153.11778
NSW,Berala,2141,-33.87333,151.03444
NSW,Berambing,2758,-33.53278,150.44833
NSW,Beresfield,2322,-32.79833,151.63444
NSW,Bergalia,2537,-35.98167,150.10111
NSW,Berkeley,2506,-34.47417,150.84778
NSW,Berkeley Vale,2261,-33.34,151.43444
NSW,Berkshire Park,2765,-33.68167,150.78444
NSW,Berlang,2622,-35.64833,149.65111
NSW,Bermagui,2546,-36.43167,150.06778
NSW,Berowra,2081,-33.62333,151.14278
NSW,Berowra Heights,2082,-33.60667,151.14278
NSW,Berowra Waters,2082,-33.59833,151.11778
NSW,Berrambool,2548,-36.87611,149.91528
NSW,Berrara,2540,-35.19833,150.56778
NSW,Berremangra,2582,-34.79833,148.46778
NSW,Berrico,2422,-32.065,151.81778
NSW,Berridale,2628,-36.365,148.81778
NSW,Berrigan,2712,-35.63167,145.80111
NSW,Berrilee,2159,-33.615,151.10111
NSW,Berrima,2577,-34.48167,150.33444
NSW,Berringer Lake,2539,-35.24833,150.50444
NSW,Berry,2535,-34.78167,150.70111
NSW,Berry Jerry,2650,-34.69833,147.26778
NSW,Berry Mountain,2535,-34.765,150.65111
NSW,Berry Park,2321,-32.74,151.65667
NSW,Berthong,2594,-34.34,148.03444
NSW,Bethungra,2590,-34.76083,147.85528
NSW,Bevendale,2581,-34.52722,149.08056
NSW,Beverley Park,2217,-33.98167,151.12611
NSW,Beverly Hills,2209,-33.94833,151.08444
NSW,Bewong,2540,-35.08167,150.53444
NSW,Bexhill,2480,-28.765,153.35111
NSW,Bexley,2207,-33.95667,151.12611
NSW,Bexley North,2207,-33.94,151.11361
NSW,Biala,2581,-34.59444,149.2625
NSW,Bibbenluke,2632,-36.815,149.28444
NSW,Bickley Vale,2570,-34.065,150.65944
NSW,Bidwill,2770,-33.72611,150.81222
NSW,Bielsdown Hills,2454,-30.36639,152.67639
NSW,Big Hill,2579,-34.54833,150.00111
NSW,Big Jacks Creek,2339,-31.7925,150.60639
